head,head_type,relation,tail,tail_type,confidence,sentence
coral,Species,occurs_in,coral,Ecosystem,0.523,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
coral,Species,occurs_in,"Acropora,",Species,0.903,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
coral,Species,occurs_in,"Turbinaria,",Geo_Location,0.925,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
coral,Species,occurs_in,Porites),Geo_Location,0.701,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
"Acropora,",Species,occurs_in,turbid-zone,Ecosystem,0.81,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
"Acropora,",Species,occurs_in,coral,Species,0.563,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
"Acropora,",Species,occurs_in,"Turbinaria,",Geo_Location,0.898,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
"Acropora,",Species,occurs_in,Porites),Geo_Location,0.637,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
"Turbinaria,",Geo_Location,occurs_in,turbid-zone,Ecosystem,0.804,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
"Turbinaria,",Geo_Location,occurs_in,"Acropora,",Species,0.872,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
Porites),Geo_Location,occurs_in,turbid-zone,Ecosystem,0.837,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
Porites),Geo_Location,occurs_in,coral,Species,0.628,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
Porites),Geo_Location,occurs_in,"Acropora,",Species,0.872,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
Porites),Geo_Location,occurs_in,"Turbinaria,",Geo_Location,0.788,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,coral,Species,0.985,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,coral,Species,0.983,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,turbid-zone,Ecosystem,0.985,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,corals,Species,0.991,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,coral,Ecosystem,0.989,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,coral,Species,0.989,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,"Acropora,",Species,0.987,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,"Turbinaria,",Geo_Location,0.982,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
warming,Climate_Driver,affects,Porites),Geo_Location,0.986,"Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48  20%; post: 55  26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event."
corals,Species,occurs_in,reefs,Ecosystem,0.943,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
corals,Species,occurs_in,Paluma,Geo_Location,0.981,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
corals,Species,occurs_in,turbid,Ecosystem,0.919,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
reefs,Ecosystem,occurs_in,corals,Species,0.533,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
reefs,Ecosystem,occurs_in,Paluma,Geo_Location,0.975,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
reefs,Ecosystem,occurs_in,turbid,Ecosystem,0.921,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
"Shoals,",Geo_Location,affects,corals,Species,0.569,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
"Shoals,",Geo_Location,occurs_in,Paluma,Geo_Location,0.974,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
turbid,Ecosystem,occurs_in,reefs,Ecosystem,0.765,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
turbid,Ecosystem,occurs_in,Paluma,Geo_Location,0.961,"Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings."
reefs,Ecosystem,occurs_in,coral reef,Ecosystem,0.806,"A more optimistic outlook than is generally offered for nearshore reefs on the central GBR may be implied by our results, which highlights the importance of these resilient but often overlooked coral reef habitats as potential refugia during climate-related disturbances."
coral reef,Ecosystem,occurs_in,reefs,Ecosystem,0.882,"A more optimistic outlook than is generally offered for nearshore reefs on the central GBR may be implied by our results, which highlights the importance of these resilient but often overlooked coral reef habitats as potential refugia during climate-related disturbances."
global,Geo_Location,contributes_to,ocean temperature,Climate_Driver,0.834,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
ocean temperature,Climate_Driver,affects,reef,Ecosystem,0.99,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
ocean temperature,Climate_Driver,affects,coral,Species,0.973,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
reef,Ecosystem,occurs_in,global,Geo_Location,0.972,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
reef,Ecosystem,occurs_in,coral,Species,0.763,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
coral,Species,occurs_in,global,Geo_Location,0.949,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
coral,Species,occurs_in,reef,Ecosystem,0.891,Climate change induced increases in global ocean temperature represent the greatest threat to the persistence of reef ecosystems and most coral populations are projected to experience temperatures above their current bleaching thresholds annually by 2050.
Great Barrier Reef.,Geo_Location,occurs_in,Platygyra,Geo_Location,0.868,"To address this knowledge gap, we quantified the heritability and genetic variation associated with heat tolerance in Platygyra daedalea from the Great Barrier Reef."
global temperature,Climate_Driver,contributes_to,climate change.,Climate_Driver,0.937,A 2 °C increase in global temperature above pre-industrial levels is considered a reasonable target for avoiding the most devastating impacts of anthropogenic climate change.
climate change.,Climate_Driver,increases,global temperature,Climate_Driver,0.963,A 2 °C increase in global temperature above pre-industrial levels is considered a reasonable target for avoiding the most devastating impacts of anthropogenic climate change.
coral reefs,Ecosystem,occurs_in,coral reef,Ecosystem,0.942,"On its own, this moderate, short-lived warming was unlikely to cause widespread damage to coral reefs in the region, and the coral reef Bleaching Alert alarm was not raised."
coral reef,Ecosystem,occurs_in,coral reefs,Ecosystem,0.946,"On its own, this moderate, short-lived warming was unlikely to cause widespread damage to coral reefs in the region, and the coral reef Bleaching Alert alarm was not raised."
coral bleaching,Env_Event,affects,coral,Ecosystem,0.938,"Mass coral bleaching quickly ensued, killing 40% of the resident coral community in an event unprecedented in at least the past 40 years."
ocean warming,Climate_Driver,affects,coral reef,Ecosystem,0.989,"Our findings highlight the risks of 2 °C ocean warming to coral reef ecosystems when global and local processes align to drive intense heating, with devastating consequences."
coral reefs,Ecosystem,occurs_in,"Indonesia,",Geo_Location,0.984,"Indonesia, as the worlds largest archipelagic state, is home to vast marine biodiversity, particularly coral reefs that support more than 25% of marine species despite covering less than 1% of the ocean floor."
"coral bleaching,",Env_Event,affects,reef,Ecosystem,0.944,"The most visible manifestation of this crisis is coral bleaching, which compromises reef health and biodiversity."
coral reef bleaching,Ecosystem,occurs_in,Indonesia,Geo_Location,0.989,This study aims to explore the ecological and economic impacts of coral reef bleaching in Indonesia and propose strategic responses for sustainable marine governance.
sea temperatures,Climate_Driver,contributes_to,global warming,Climate_Driver,0.639,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
sea temperatures,Climate_Driver,causes,coral bleaching,Env_Event,0.984,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
sea temperatures,Climate_Driver,affects,coral,Ecosystem,0.991,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
global warming,Climate_Driver,increases,sea temperatures,Climate_Driver,0.984,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
global warming,Climate_Driver,causes,coral bleaching,Env_Event,0.984,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
global warming,Climate_Driver,affects,coral,Ecosystem,0.991,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
coral bleaching,Env_Event,affects,coral,Ecosystem,0.948,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
coral,Ecosystem,occurs_in,coral bleaching,Env_Event,0.514,"Findings reveal that elevated sea temperatures caused by global warming and phenomena like El Nio have led to mass coral bleaching events, reducing coral cover, disrupting marine food chains, and impairing ecosystem services."
coastal,Ecosystem,occurs_in,Coral reef,Ecosystem,0.823,"Coral reef degradation also weakens natural coastal defenses, increasing exposure to storm damage."
storm,Env_Event,affects,Coral reef,Ecosystem,0.976,"Coral reef degradation also weakens natural coastal defenses, increasing exposure to storm damage."
storm,Env_Event,affects,coastal,Ecosystem,0.975,"Coral reef degradation also weakens natural coastal defenses, increasing exposure to storm damage."
coral reefs,Ecosystem,occurs_in,Indonesias,Geo_Location,0.987,"Strengthening marine spatial planning, enforcing sustainable fishing regulations, and promoting blue economy principles can help safeguard coral reefs and enhance the resilience of Indonesias coastal economy."
coral reefs,Ecosystem,occurs_in,coastal,Ecosystem,0.904,"Strengthening marine spatial planning, enforcing sustainable fishing regulations, and promoting blue economy principles can help safeguard coral reefs and enhance the resilience of Indonesias coastal economy."
coastal,Ecosystem,affects,coral reefs,Ecosystem,0.516,"Strengthening marine spatial planning, enforcing sustainable fishing regulations, and promoting blue economy principles can help safeguard coral reefs and enhance the resilience of Indonesias coastal economy."
coastal,Ecosystem,occurs_in,Indonesias,Geo_Location,0.939,"Strengthening marine spatial planning, enforcing sustainable fishing regulations, and promoting blue economy principles can help safeguard coral reefs and enhance the resilience of Indonesias coastal economy."
sea surface temperature,Climate_Variable,contributes_to,ocean warming,Climate_Driver,0.852,"Episodic anomalously warm sea surface temperature (SST) extremes, or marine heatwaves (MHWs), amplify ocean warming effects and may lead to severe impacts on marine ecosystems."
sea surface temperature,Climate_Variable,affects,marine,Ecosystem,0.988,"Episodic anomalously warm sea surface temperature (SST) extremes, or marine heatwaves (MHWs), amplify ocean warming effects and may lead to severe impacts on marine ecosystems."
ocean warming,Climate_Driver,increases,sea surface temperature,Climate_Variable,0.983,"Episodic anomalously warm sea surface temperature (SST) extremes, or marine heatwaves (MHWs), amplify ocean warming effects and may lead to severe impacts on marine ecosystems."
ocean warming,Climate_Driver,affects,marine,Ecosystem,0.988,"Episodic anomalously warm sea surface temperature (SST) extremes, or marine heatwaves (MHWs), amplify ocean warming effects and may lead to severe impacts on marine ecosystems."
coral bleaching,Env_Event,occurs_in,Indian Ocean,Geo_Location,0.978,"MHW-induced coral bleaching events have been observed frequently in recent decades in the southeast Indian Ocean (SEIO), a region traditionally regarded to have resilience to global warming."
global warming.,Climate_Driver,causes,coral bleaching,Env_Event,0.97,"MHW-induced coral bleaching events have been observed frequently in recent decades in the southeast Indian Ocean (SEIO), a region traditionally regarded to have resilience to global warming."
reefs,Ecosystem,occurs_in,SEIO.,Geo_Location,0.981,"In this study, we assess the contribution of El Nio-Southern Oscillation (ENSO) to MHWs across the mostly understudied reefs in the SEIO."
reefs,Ecosystem,occurs_in,reefs,Ecosystem,0.941,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
reefs,Ecosystem,occurs_in,reefs,Ecosystem,0.957,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
reefs,Ecosystem,occurs_in,reefs,Ecosystem,0.917,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
reefs,Ecosystem,occurs_in,Australian,Geo_Location,0.781,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
reefs,Ecosystem,occurs_in,reefs,Ecosystem,0.961,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
solar radiation,Climate_Driver,affects,reefs,Ecosystem,0.987,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
solar radiation,Climate_Driver,affects,reefs,Ecosystem,0.987,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
solar radiation,Climate_Driver,affects,reefs,Ecosystem,0.977,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
solar radiation,Climate_Driver,increases,horizontal,Climate_Variable,0.976,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
solar radiation,Climate_Driver,increases,"heat transport,",Climate_Variable,0.989,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
Australian,Geo_Location,affects,reefs,Ecosystem,0.953,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
Australian,Geo_Location,affects,reefs,Ecosystem,0.917,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
Australian,Geo_Location,contributes_to,solar radiation,Climate_Driver,0.783,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
Indian,Geo_Location,occurs_in,reefs,Ecosystem,0.551,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
reefs,Ecosystem,occurs_in,reefs,Ecosystem,0.897,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
reefs,Ecosystem,occurs_in,reefs,Ecosystem,0.931,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
horizontal,Climate_Variable,affects,reefs,Ecosystem,0.984,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
horizontal,Climate_Variable,affects,reefs,Ecosystem,0.982,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
horizontal,Climate_Variable,contributes_to,solar radiation,Climate_Driver,0.519,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
horizontal,Climate_Variable,affects,reefs,Ecosystem,0.97,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
horizontal,Climate_Variable,increases,"heat transport,",Climate_Variable,0.982,"We find that in extended summer months, the MHWs at tropical and subtropical reefs (divided at ~20°S) are driven by opposite ENSO polarities: MHWs are more likely to occur at the tropical reefs during eastern Pacific El Nio, driven by enhanced solar radiation and weaker Australian Monsoon, some likely alleviated by positive Indian Ocean Dipole events, and at the subtropical reefs during central Pacific La Nia, mainly caused by increased horizontal heat transport, and in some cases reinforced by local air-sea interactions."
